variables = "ivol", "x", "z", "RSD_tot"
zone t = "RSD_tot, T = 58.000000 days i = 100, j = 100, k = 1, f=point
0 0.000000 0.000000 0.000000
1 0.010101 0.000000 0.000000
2 0.020202 0.000000 0.000000
3 0.030303 0.000000 0.000000
4 0.040404 0.000000 0.000000
5 0.050505 0.000000 0.000000
6 0.060606 0.000000 0.000000
7 0.070707 0.000000 0.000000
8 0.080808 0.000000 0.000000
9 0.090909 0.000000 0.000000
10 0.101010 0.000000 0.000000
11 0.111111 0.000000 0.000000
12 0.121212 0.000000 0.000000
13 0.131313 0.000000 0.000000
14 0.141414 0.000000 0.000000
15 0.151515 0.000000 0.000000
16 0.161616 0.000000 0.000000
17 0.171717 0.000000 0.000000
18 0.181818 0.000000 0.000000
19 0.191919 0.000000 0.000000
20 0.202020 0.000000 0.000000
21 0.212121 0.000000 0.000000
22 0.222222 0.000000 0.000000
23 0.232323 0.000000 0.000000
24 0.242424 0.000000 0.000000
25 0.252525 0.000000 0.000000
26 0.262626 0.000000 0.000000
27 0.272727 0.000000 0.000000
28 0.282828 0.000000 0.154589
29 0.292929 0.000000 0.000000
30 0.303030 0.000000 0.046577
31 0.313131 0.000000 0.093153
32 0.323232 0.000000 0.000000
33 0.333333 0.000000 0.000000
34 0.343434 0.000000 0.000000
35 0.353535 0.000000 0.113893
36 0.363636 0.000000 0.121911
37 0.373737 0.000000 0.041973
38 0.383838 0.000000 0.000000
39 0.393939 0.000000 0.713295
40 0.404040 0.000000 0.327961
41 0.414141 0.000000 0.095314
42 0.424242 0.000000 0.142971
43 0.434343 0.000000 0.095314
44 0.444444 0.000000 0.088226
45 0.454545 0.000000 0.403425
46 0.464646 0.000000 0.095059
47 0.474747 0.000000 0.095059
48 0.484848 0.000000 0.095059
49 0.494949 0.000000 0.095059
50 0.505050 0.000000 0.206237
51 0.515152 0.000000 0.174286
52 0.525253 0.000000 0.095059
53 0.535354 0.000000 0.183653
54 0.545455 0.000000 0.314406
55 0.555556 0.000000 0.093395
56 0.565657 0.000000 0.925308
57 0.575758 0.000000 0.328976
58 0.585859 0.000000 0.331195
59 0.595960 0.000000 0.361678
60 0.606061 0.000000 0.425821
61 0.616162 0.000000 0.288490
62 0.626263 0.000000 0.044109
63 0.636364 0.000000 0.186940
64 0.646465 0.000000 0.214475
65 0.656566 0.000000 0.000000
66 0.666667 0.000000 0.000000
67 0.676768 0.000000 0.000000
68 0.686869 0.000000 0.000000
69 0.696970 0.000000 0.000000
70 0.707071 0.000000 0.000000
71 0.717172 0.000000 0.000000
72 0.727273 0.000000 0.000000
73 0.737374 0.000000 0.000000
74 0.747475 0.000000 0.000000
75 0.757576 0.000000 0.000000
